dictionarySeq,tagCategory,tagField,tagInterfaceFlag,tagPrompt
1960,Entry_prerelease_seq,Seq_one_letter_code,?,?
1970,Entry_prerelease_seq,Sf_ID,?,?
1980,Entry_prerelease_seq,Entry_ID,?,?
1990,Contact_person,ID,?,?
2000,Contact_person,Email_address,?,?
2010,Contact_person,ORCID,?,?
2020,Contact_person,Name_salutation,?,?
2030,Contact_person,Given_name,?,?
2040,Contact_person,Family_name,?,?
2050,Contact_person,Middle_initials,?,?
2060,Contact_person,Family_title,?,?
2070,Contact_person,Department_and_institution,?,?
2080,Contact_person,Country,?,?
2090,Contact_person,State_province,?,?
2100,Contact_person,City,?,?
2110,Contact_person,Postal_code,?,?
2120,Contact_person,Mailing_address,?,?
2130,Contact_person,Address_1,?,?
2140,Contact_person,Address_2,?,?
2150,Contact_person,Address_3,?,?
2160,Contact_person,Phone_number,?,?
2170,Contact_person,FAX_number,?,?
2180,Contact_person,Role,?,?
2190,Contact_person,Organization_type,?,?
2200,Contact_person,Sf_ID,?,?
2210,Contact_person,Entry_ID,?,?
2220,Entry_author,Ordinal,?,?
2230,Entry_author,Given_name,C,Given name
2240,Entry_author,Family_name,C,Family name
2250,Entry_author,First_initial,C,Initial of given name
2260,Entry_author,Middle_initials,C,Middle initials
2270,Entry_author,Family_title,?,?
2280,Entry_author,ORCID,?,?
2290,Entry_author,Sf_ID,?,?
2300,Entry_author,Entry_ID,C,Entry ID
2310,SG_project,SG_project_ID,?,?
2320,SG_project,Project_name,C,Project name
2330,SG_project,Full_name_of_center,?,?
2340,SG_project,Initial_of_center,C,Initials of center
2350,SG_project,Sf_ID,?,?
2360,SG_project,Entry_ID,C,Entry ID
2370,Entry_src,ID,?,?
2380,Entry_src,Project_name,C,Project name
2390,Entry_src,Organization_full_name,?,?
2400,Entry_src,Organization_initials,?,?
2410,Entry_src,Sf_ID,?,?
2420,Entry_src,Entry_ID,C,Entry ID
2430,Struct_keywords,Keywords,C,Keywords
2440,Struct_keywords,Text,?,?
2450,Struct_keywords,Sf_ID,?,?
2460,Struct_keywords,Entry_ID,C,Entry ID
2470,Data_set,Type,SFAV-P,Data set type
2480,Data_set,Count,?,?
2490,Data_set,Sf_ID,?,?
2500,Data_set,Entry_ID,C,Entry ID
2510,Datum,Type,SFAV-P,Datum type
2520,Datum,Count,C,Datum count
2530,Datum,Sf_ID,?,?
2540,Datum,Entry_ID,C,Entry ID
2550,Release,Release_number,C,Release ordinal
2560,Release,Format_type,?,?
2570,Release,Format_version,?,?
2580,Release,Date,C,Release date
2590,Release,Submission_date,?,?
2600,Release,Type,C,Release type
2610,Release,Author,C,Release author
2620,Release,Detail,C,Release description
2630,Release,Sf_ID,?,?
2640,Release,Entry_ID,?,?
2650,BMRbig_link,BMRbig_ID,?,?
2660,BMRbig_link,Sf_ID,?,?
2670,BMRbig_link,Entry_ID,?,?
2680,Related_entries,Database_name,C,Database name
2690,Related_entries,Database_accession_code,C,Database accession code
2700,Related_entries,Relationship,C,Database relationship
2710,Related_entries,Sf_ID,?,?
2720,Related_entries,Entry_ID,?,?
2730,Matched_entries,Database_name,C,Database name
2740,Matched_entries,Database_accession_code,C,Database accession code
2750,Matched_entries,Sf_ID,?,?
2760,Matched_entries,Entry_ID,?,?
2770,Auxiliary_files,ID,?,?
2780,Auxiliary_files,Name,?,?
2790,Auxiliary_files,Format,?,?
2800,Auxiliary_files,URI,?,?
2810,Auxiliary_files,DOI,?,?
2820,Auxiliary_files,Path,?,?
2830,Auxiliary_files,Details,?,?
2840,Auxiliary_files,Sf_ID,?,?
2850,Auxiliary_files,Entry_ID,?,?
2860,Audit,Revision_ID,?,?
2870,Audit,Creation_date,?,?
2880,Audit,Update_record,?,?
2890,Audit,Creation_method,?,?
2900,Audit,Sf_ID,?,?
2910,Audit,Entry_ID,?,?
2920,Citation,Sf_category,?,?
2930,Citation,Sf_framecode,?,?
2940,Citation,Entry_ID,C,Entry ID
2950,Citation,Sf_ID,?,?
2960,Citation,ID,?,?
2970,Citation,Name,?,?
2980,Citation,Class,SFAV-P,Class (entry; reference)
2990,Citation,CAS_abstract_code,?,?
3000,Citation,MEDLINE_UI_code,?,?
3010,Citation,PubMed_ID,?,?
3020,Citation,DOI,?,?
3030,Citation,Full_citation,?,?
3040,Citation,Title,C,Citation title
3050,Citation,Status,?,?
3060,Citation,Type,SFAV-P,Type (journal; book; thesis)
3070,Citation,Journal_abbrev,C,Journal abbreviation
3080,Citation,Journal_name_full,?,?
3090,Citation,Journal_volume,?,?
3100,Citation,Journal_issue,?,?
3110,Citation,Journal_ASTM,?,?
3120,Citation,Journal_ISSN,?,?
3130,Citation,Journal_CSD,?,?
3140,Citation,Book_title,?,?
3150,Citation,Book_chapter_title,?,?
3160,Citation,Book_volume,?,?
3170,Citation,Book_series,?,?
3180,Citation,Book_publisher,?,?
3190,Citation,Book_publisher_city,?,?
3200,Citation,Book_ISBN,?,?
3210,Citation,Conference_title,?,?
3220,Citation,Conference_site,?,?
3230,Citation,Conference_state_province,?,?
3240,Citation,Conference_country,?,?
3250,Citation,Conference_start_date,?,?
3260,Citation,Conference_end_date,?,?
3270,Citation,Conference_abstract_number,?,?
3280,Citation,Thesis_institution,?,?
3290,Citation,Thesis_institution_city,?,?
3300,Citation,Thesis_institution_country,?,?
3310,Citation,WWW_URL,?,?
3320,Citation,Page_first,?,?
3330,Citation,Page_last,?,?
3340,Citation,Year,C,Year
3350,Citation,Details,?,?
3360,Citation_author,Ordinal,?,?
3370,Citation_author,Given_name,C,Given name
3380,Citation_author,Family_name,C,Family name
3390,Citation_author,First_initial,C,Initial of given name
3400,Citation_author,Middle_initials,C,Middle initials
3410,Citation_author,Family_title,?,?
3420,Citation_author,ORCID,?,?
3430,Citation_author,Sf_ID,?,?
3440,Citation_author,Entry_ID,C,Entry ID
3450,Citation_author,Citation_ID,?,?
3460,Citation_keyword,Keyword,C,Keyword
3470,Citation_keyword,Sf_ID,?,?
3480,Citation_keyword,Entry_ID,C,Entry ID
3490,Citation_keyword,Citation_ID,?,?
3500,Citation_editor,Ordinal,?,?
3510,Citation_editor,Given_name,?,?
3520,Citation_editor,Family_name,?,?
3530,Citation_editor,First_initial,?,?
3540,Citation_editor,Middle_initials,?,?
3550,Citation_editor,Family_title,?,?
3560,Citation_editor,Sf_ID,?,?
3570,Citation_editor,Entry_ID,?,?
3580,Citation_editor,Citation_ID,?,?
3590,Reference_list,Sf_category,?,?
3600,Reference_list,Sf_framecode,?,?
3610,Reference_list,Entry_ID,?,?
3620,Reference_list,Sf_ID,?,?
3630,Reference_list,ID,?,?
3640,Reference,ID,?,?
3650,Reference,Class,?,?
3660,Reference,Full_reference,?,?
3670,Reference,Authors,?,?
3680,Reference,Title,?,?
3690,Reference,Journal_name_full,?,?
3700,Reference,Year,?,?
3710,Reference,Journal_volume,?,?
3720,Reference,Journal_issue,?,?
3730,Reference,DOI,?,?
3740,Reference,WWW_URL,?,?
3750,Reference,PubMed_ID,?,?
3760,Reference,PubMed_URL,?,?
3770,Reference,PMC_ID,?,?
3780,Reference,PMC_URL,?,?
3790,Reference,Sf_ID,?,?
3800,Reference,Entry_ID,?,?
3810,Reference,Reference_list_ID,?,?
3820,Assembly,Sf_category,?,?
3830,Assembly,Sf_framecode,?,?
3840,Assembly,Entry_ID,C,Entry ID
3850,Assembly,Sf_ID,?,?
3860,Assembly,ID,?,?
3870,Assembly,Name,C,Name
3880,Assembly,BMRB_code,?,?
3890,Assembly,Number_of_components,?,?
3900,Assembly,Organic_ligands,C,Organic ligands
3910,Assembly,Metal_ions,C,Metal ions
3920,Assembly,Non_standard_bonds,SFAV-P,Non standard bonds
3930,Assembly,Ambiguous_conformational_states,?,?
3940,Assembly,Ambiguous_chem_comp_sites,?,?
3950,Assembly,Molecules_in_chemical_exchange,?,?
3960,Assembly,Paramagnetic,SFAV-P,Paramagnetic (yes; no)
3970,Assembly,Thiol_state,C,Thiol state (fully reduced; fully oxidized)
3980,Assembly,Molecular_mass,C,Molecular mass
3990,Assembly,Enzyme_commission_number,C,Enzyme commission number
4000,Assembly,Details,?,?
4010,Assembly,DB_query_date,?,?
4020,Assembly,DB_query_revised_last_date,?,?
4030,Assembly_type,Type,C,Type
4040,Assembly_type,Sf_ID,?,?
4050,Assembly_type,Entry_ID,C,Entry ID
4060,Assembly_type,Assembly_ID,?,?
4070,Entity_assembly,ID,?,?
4080,Entity_assembly,Entity_assembly_name,?,?
4090,Entity_assembly,Entity_ID,?,?
4100,Entity_assembly,Entity_label,?,?
4110,Entity_assembly,Asym_ID,?,?
4120,Entity_assembly,PDB_chain_ID,?,?
4130,Entity_assembly,Experimental_data_reported,C,Experimental data reported
4140,Entity_assembly,Physical_state,C,Physical state
4150,Entity_assembly,Conformational_isomer,C,Conformational isomer
4160,Entity_assembly,Chemical_exchange_state,C,Chemical exchange state
4170,Entity_assembly,Magnetic_equivalence_group_code,C,Magnetically equivalent group
4180,Entity_assembly,Role,?,?
4190,Entity_assembly,Details,?,?
4200,Entity_assembly,Sf_ID,?,?
4210,Entity_assembly,Entry_ID,C,Entry ID
4220,Entity_assembly,Assembly_ID,?,?
4230,Bond,ID,?,?
4240,Bond,Type,C,Type
4250,Bond,Value_order,?,?
4260,Bond,Assembly_atom_ID_1,?,?
4270,Bond,Entity_assembly_ID_1,?,?
4280,Bond,Entity_assembly_name_1,?,?
4290,Bond,Entity_ID_1,?,?
4300,Bond,Comp_ID_1,?,?
4310,Bond,Comp_index_ID_1,?,?
4320,Bond,Seq_ID_1,?,?
4330,Bond,Atom_ID_1,?,?
4340,Bond,Assembly_atom_ID_2,?,?
4350,Bond,Entity_assembly_ID_2,?,?
4360,Bond,Entity_assembly_name_2,?,?
4370,Bond,Entity_ID_2,?,?
4380,Bond,Comp_ID_2,?,?
4390,Bond,Comp_index_ID_2,?,?
4400,Bond,Seq_ID_2,?,?
4410,Bond,Atom_ID_2,?,?
4420,Bond,Auth_entity_assembly_ID_1,?,?
4430,Bond,Auth_entity_assembly_name_1,?,?
4440,Bond,Auth_asym_ID_1,?,?
4450,Bond,Auth_seq_ID_1,?,?
4460,Bond,Auth_comp_ID_1,?,?
4470,Bond,Auth_atom_ID_1,?,?
4480,Bond,Auth_entity_assembly_ID_2,?,?
4490,Bond,Auth_entity_assembly_name_2,?,?
4500,Bond,Auth_asym_ID_2,?,?
4510,Bond,Auth_seq_ID_2,?,?
4520,Bond,Auth_comp_ID_2,?,?
4530,Bond,Auth_atom_ID_2,?,?
4540,Bond,Sf_ID,?,?
4550,Bond,Entry_ID,C,Entry ID
4560,Bond,Assembly_ID,?,?
4570,Entity_deleted_atom,ID,?,?
4580,Entity_deleted_atom,Entity_atom_list_ID,?,?
4590,Entity_deleted_atom,Entity_assembly_ID,?,?
4600,Entity_deleted_atom,Entity_ID,?,?
4610,Entity_deleted_atom,Comp_ID,?,?
4620,Entity_deleted_atom,Comp_index_ID,?,?
4630,Entity_deleted_atom,Seq_ID,?,?
4640,Entity_deleted_atom,Atom_ID,?,?
4650,Entity_deleted_atom,Auth_entity_assembly_ID,?,?
4660,Entity_deleted_atom,Auth_seq_ID,?,?
4670,Entity_deleted_atom,Auth_comp_ID,?,?
4680,Entity_deleted_atom,Auth_atom_ID,?,?
4690,Entity_deleted_atom,Sf_ID,?,?
4700,Entity_deleted_atom,Entry_ID,?,?
4710,Entity_deleted_atom,Assembly_ID,?,?
4720,Struct_asym,ID,?,?
4730,Struct_asym,Entity_ID,?,?
4740,Struct_asym,PDBX_blank_PDB_chainid_flag,?,?
4750,Struct_asym,PDBX_modified,?,?
4760,Struct_asym,Details,?,?
4770,Struct_asym,Sf_ID,?,?
4780,Struct_asym,Entry_ID,?,?
4790,Struct_asym,Assembly_ID,?,?
4800,Assembly_db_link,Author_supplied,SFAV-P,Author supplied
4810,Assembly_db_link,Database_code,C,Database code
4820,Assembly_db_link,Accession_code,C,Accession code
4830,Assembly_db_link,Entry_mol_code,?,?
4840,Assembly_db_link,Entry_mol_name,C,Molecule name
4850,Assembly_db_link,Entry_experimental_method,C,Experimental method
4860,Assembly_db_link,Entry_structure_resolution,?,?
4870,Assembly_db_link,Entry_relation_type,?,?
4880,Assembly_db_link,Entry_details,?,?
4890,Assembly_db_link,Sf_ID,?,?
4900,Assembly_db_link,Entry_ID,C,Entry ID
4910,Assembly_db_link,Assembly_ID,?,?
4920,Assembly_common_name,Name,?,?
4930,Assembly_common_name,Type,?,?
4940,Assembly_common_name,Sf_ID,?,?
4950,Assembly_common_name,Entry_ID,?,?
4960,Assembly_common_name,Assembly_ID,?,?
4970,Assembly_systematic_name,Name,?,?
4980,Assembly_systematic_name,Naming_system,?,?
4990,Assembly_systematic_name,Sf_ID,?,?
5000,Assembly_systematic_name,Entry_ID,?,?
5010,Assembly_systematic_name,Assembly_ID,?,?
5020,Assembly_interaction,ID,?,?
5030,Assembly_interaction,Entity_assembly_ID_1,?,?
5040,Assembly_interaction,Entity_assembly_ID_2,?,?
5050,Assembly_interaction,Mol_interaction_type,?,?
5060,Assembly_interaction,Sf_ID,?,?
5070,Assembly_interaction,Entry_ID,?,?
5080,Assembly_interaction,Assembly_ID,?,?
5090,Chem_comp_assembly,Assembly_chem_comp_ID,?,?
5100,Chem_comp_assembly,Entity_assembly_ID,?,?
5110,Chem_comp_assembly,Entity_ID,?,?
5120,Chem_comp_assembly,Comp_index_ID,?,?
5130,Chem_comp_assembly,Comp_ID,?,?
5140,Chem_comp_assembly,Seq_ID,?,?
5150,Chem_comp_assembly,Auth_entity_assembly_ID,?,?
5160,Chem_comp_assembly,Auth_asym_ID,?,?
5170,Chem_comp_assembly,Auth_seq_ID,?,?
5180,Chem_comp_assembly,Auth_comp_ID,?,?
5190,Chem_comp_assembly,Auth_variant_ID,?,?
5200,Chem_comp_assembly,Sequence_linking,?,?
5210,Chem_comp_assembly,Cis_residue,?,?
5220,Chem_comp_assembly,NEF_index,?,?
5230,Chem_comp_assembly,Sf_ID,?,?
5240,Chem_comp_assembly,Entry_ID,?,?
5250,Chem_comp_assembly,Assembly_ID,?,?
5260,PDBX_poly_seq_scheme,Entity_assembly_ID,?,?
5270,PDBX_poly_seq_scheme,Entity_ID,?,?
5280,PDBX_poly_seq_scheme,Comp_index_ID,?,?
5290,PDBX_poly_seq_scheme,Comp_ID,?,?
5300,PDBX_poly_seq_scheme,Comp_label,?,?
5310,PDBX_poly_seq_scheme,Asym_ID,?,?
5320,PDBX_poly_seq_scheme,Seq_ID,?,?
5330,PDBX_poly_seq_scheme,Mon_ID,?,?
5340,PDBX_poly_seq_scheme,Hetero,?,?
5350,PDBX_poly_seq_scheme,PDB_seq_num,?,?
5360,PDBX_poly_seq_scheme,PDB_mon_ID,?,?
5370,PDBX_poly_seq_scheme,PDB_chain_ID,?,?
5380,PDBX_poly_seq_scheme,PDB_ins_code,?,?
5390,PDBX_poly_seq_scheme,Auth_seq_num,?,?
5400,PDBX_poly_seq_scheme,Auth_mon_ID,?,?
5410,PDBX_poly_seq_scheme,Sf_ID,?,?
5420,PDBX_poly_seq_scheme,Entry_ID,?,?
5430,PDBX_poly_seq_scheme,Assembly_ID,?,?
5440,PDBX_nonpoly_scheme,Entity_assembly_ID,?,?
5450,PDBX_nonpoly_scheme,Asym_ID,?,?
5460,PDBX_nonpoly_scheme,Entity_ID,?,?
5470,PDBX_nonpoly_scheme,Mon_ID,?,?
5480,PDBX_nonpoly_scheme,Comp_index_ID,?,?
5490,PDBX_nonpoly_scheme,Comp_ID,?,?
5500,PDBX_nonpoly_scheme,PDB_seq_num,?,?
5510,PDBX_nonpoly_scheme,Auth_seq_num,?,?
5520,PDBX_nonpoly_scheme,PDB_mon_ID,?,?
5530,PDBX_nonpoly_scheme,Auth_mon_ID,?,?
5540,PDBX_nonpoly_scheme,PDB_strand_ID,?,?
5550,PDBX_nonpoly_scheme,PDB_ins_code,?,?
5560,PDBX_nonpoly_scheme,Sf_ID,?,?
5570,PDBX_nonpoly_scheme,Entry_ID,?,?
5580,PDBX_nonpoly_scheme,Assembly_ID,?,?
5590,Atom_type,ID,?,?
5600,Atom_type,Symbol,?,?
5610,Atom_type,Atomic_number,?,?
5620,Atom_type,Isotope_number,?,?
5630,Atom_type,Oxidation_number,?,?
5640,Atom_type,Paramagnetic,?,?
5650,Atom_type,Electron_configuration,?,?
5660,Atom_type,Unpaired_electron_number,?,?
5670,Atom_type,Atomic_mass,?,?
5680,Atom_type,Van_der_Vaals_radii,?,?
5690,Atom_type,Sf_ID,?,?
5700,Atom_type,Entry_ID,?,?
5710,Atom_type,Assembly_ID,?,?
5720,Atom,Assembly_atom_ID,?,?
5730,Atom,Entity_assembly_ID,?,?
5740,Atom,Entity_ID,?,?
5750,Atom,Comp_index_ID,?,?
5760,Atom,Seq_ID,?,?
5770,Atom,Comp_ID,?,?
5780,Atom,Atom_type_ID,?,?
5790,Atom,Atom_ID,?,?
5800,Atom,Type_symbol,?,?
5810,Atom,PDB_one_letter_code,?,?
5820,Atom,PDB_strand_ID,?,?
5830,Atom,PDB_ins_code,?,?
5840,Atom,PDB_asym_ID,?,?
5850,Atom,PDB_seq_ID,?,?
5860,Atom,PDB_comp_ID,?,?
5870,Atom,PDB_group,?,?
5880,Atom,PDB_atom_ID,?,?
5890,Atom,PDB_atom_type,?,?
5900,Atom,Sf_ID,?,?
5910,Atom,Entry_ID,?,?
5920,Atom,Assembly_ID,?,?
5930,Assembly_bio_function,Biological_function,?,?
5940,Assembly_bio_function,Sf_ID,?,?
5950,Assembly_bio_function,Entry_ID,?,?
5960,Assembly_bio_function,Assembly_ID,?,?
5970,Angle,ID,?,?
5980,Angle,Angle_name,?,?
5990,Angle,Assembly_atom_ID_1,?,?
6000,Angle,Entity_assembly_ID_1,?,?
6010,Angle,Entity_ID_1,?,?
6020,Angle,Entity_label_1,?,?
6030,Angle,Comp_ID_1,?,?
6040,Angle,Comp_label_1,?,?
6050,Angle,Comp_index_ID_1,?,?
6060,Angle,Seq_ID_1,?,?
6070,Angle,Atom_ID_1,?,?
6080,Angle,Atom_type_1,?,?
6090,Angle,Assembly_atom_ID_2,?,?
6100,Angle,Entity_assembly_ID_2,?,?
6110,Angle,Entity_ID_2,?,?
6120,Angle,Entity_label_2,?,?
6130,Angle,Comp_ID_2,?,?
6140,Angle,Comp_label_2,?,?
6150,Angle,Comp_index_ID_2,?,?
6160,Angle,Seq_ID_2,?,?
6170,Angle,Atom_ID_2,?,?
6180,Angle,Atom_type_2,?,?
6190,Angle,Assembly_atom_ID_3,?,?
6200,Angle,Entity_assembly_ID_3,?,?
6210,Angle,Entity_ID_3,?,?
6220,Angle,Entity_label_3,?,?
6230,Angle,Comp_ID_3,?,?
6240,Angle,Comp_label_3,?,?
6250,Angle,Comp_index_ID_3,?,?
6260,Angle,Seq_ID_3,?,?
6270,Angle,Atom_ID_3,?,?
6280,Angle,Atom_type_3,?,?
6290,Angle,Sf_ID,?,?
6300,Angle,Entry_ID,?,?
6310,Angle,Assembly_ID,?,?
6320,Torsion_angle,ID,?,?
6330,Torsion_angle,Torsion_angle_name,?,?
6340,Torsion_angle,Assembly_atom_ID_1,?,?
6350,Torsion_angle,Entity_assembly_ID_1,?,?
6360,Torsion_angle,Entity_ID_1,?,?
