dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfNameFlg,sfCategoryFlg,sfPointerFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example,prompt
120,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Structural_genomics,Y,H,N,,Structural genomics,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Structural_genomics,N,120,Y,IO,II,no,14070,10,,N,,0,?,Y,N,,,,?,This submission is from a structural genomics project
130,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Ligands,Y,H,N,,Ligands,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Ligands,N,130,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,The system contains a metal and/or a non-polymeric organic ligand
140,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Non_standard_residues,Y,H,N,,Non standard residues,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Non_standard_residues,N,140,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,At least one biopolymer contains a non-standard residue
150,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Constraints,Y,H,N,,Constraints,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Constraints,N,150,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Structural constraints (restraint data)
160,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Assigned_chem_shifts,Y,H,N,,Assigned chem shifts,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Assigned_chem_shifts,N,160,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Assigned NMR chemical shifts
170,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Coupling_constants,Y,H,N,,Coupling constants,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Coupling_constants,N,170,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Scalar coupling constants
180,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_shift_isotope_effect,Y,H,N,,Chem shift isotope effect,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Chem_shift_isotope_effect,N,180,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Chemical shift isotope effect
190,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_shift_perturbation,Y,H,N,,Chem shift perturbation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Chem_shift_perturbation,N,190,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Chemical shift perturbation data
200,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Auto_relaxation,Y,H,N,,Auto relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Auto_relaxation,N,200,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Auto relaxation parameters
210,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Tensor,Y,H,N,,Tensor,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Tensor,N,210,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Tensor data
220,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Interatomic_distance,Y,H,N,,Interatomic distance,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Interatomic_distance,N,220,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Interatomic distance data
230,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_shift_anisotropy,Y,H,N,,Chem shift anisotropy,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Chem_shift_anisotropy,N,230,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Chemical shift anisotropy
240,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_NOEs,Y,H,N,,Heteronucl NOEs,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Heteronucl_NOEs,N,240,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Heteronuclear NOEs
250,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1_relaxation,Y,H,N,,Heteronucl T1 relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Heteronucl_T1_relaxation,N,250,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,T1 (R1) NMR relaxation data
260,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T2_relaxation,Y,H,N,,Heteronucl T2 relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Heteronucl_T2_relaxation,N,260,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,T2 (R2) NMR relaxation data
270,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1rho_relaxation,Y,H,N,,Heteronucl T1rho relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Heteronucl_T1rho_relaxation,N,270,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,T1rho (R1rho) NMR relaxation data
280,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Order_parameters,Y,H,N,,Order parameters,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Order_parameters,N,280,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Order parameters
290,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dynamics_trajectory,Y,H,N,,Dynamics trajectory,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Dynamics_trajectory,N,290,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dynamics trajectory file
300,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Movie,Y,H,N,,Movie,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Movie,N,300,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dynamics movie file
310,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Image_file,Y,H,N,,Image file,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Image_file,N,310,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Image file (molecule structure)
320,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Residual_dipolar_couplings,Y,H,N,,Residual dipolar couplings,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Residual_dipolar_couplings,N,320,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Residual dipolar couplings
330,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_rate,Y,H,N,,H exchange rate,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,H_exchange_rate,N,330,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Hydrogen exchange rates
340,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_protection_factors,Y,H,N,,H exchange protection factors,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,H_exchange_protection_factors,N,340,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Hydrogen exchange protection data
350,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_rate_constants,Y,H,N,,Chem rate constants,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Chem_rate_constants,N,350,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Chemical rate constants
360,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_peak_lists,Y,H,N,,Spectral peak lists,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Spectral_peak_lists,N,360,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Spectral peak lists
370,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_couplings,Y,H,N,,Dipole dipole couplings,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Dipole_dipole_couplings,N,370,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dipole-dipole couplings
380,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Quadrupolar_couplings,Y,H,N,,Quadrupolar couplings,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Quadrupolar_couplings,N,380,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Quadrupolar couplings
390,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Homonucl_NOEs,Y,H,N,,Homonucl NOEs,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Homonucl_NOEs,N,390,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Homonuclear NOEs
400,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_relaxation,Y,H,N,,Dipole dipole relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Dipole_dipole_relaxation,N,400,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dipole-dipole relaxation data
410,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.DD_cross_correlation,Y,H,N,,DD cross correlation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,DD_cross_correlation,N,410,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dipole-dipole cross correlation data
420,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_CSA_cross_correlation,Y,H,N,,Dipole CSA cross correlation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Dipole_CSA_cross_correlation,N,420,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Dipole-CSA cross correlation data
430,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Binding_constants,Y,H,N,,Binding constants,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Binding_constants,N,430,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Binding constants
440,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.PKa_value_data_set,Y,H,N,,PKa value data set,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,PKa_value_data_set,N,440,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,NMR-derived pH transitions (pKa's; pHmid's)
450,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.D_H_fractionation_factors,Y,H,N,,D H fractionation factors,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,D_H_fractionation_factors,N,450,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,NMR-derived D/H fractionation factors
460,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_chem_shifts,Y,H,N,,Theoretical chem shifts,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_chem_shifts,N,460,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical (calculated) chemical shift values
470,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_coupling_constants,Y,H,N,,Theoretical coupling constants,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_coupling_constants,N,470,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical coupling constants
480,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_heteronucl_NOEs,Y,H,N,,Theoretical heteronucl NOEs,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_heteronucl_NOEs,N,480,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical heteronuclear NOEs
490,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_T1_relaxation,Y,H,N,,Theoretical T1 relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_T1_relaxation,N,490,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical T1 values
500,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_T2_relaxation,Y,H,N,,Theoretical T2 relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_T2_relaxation,N,500,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical T2 values
510,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_auto_relaxation,Y,H,N,,Theoretical auto relaxation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_auto_relaxation,N,510,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical auto relaxation parameters
520,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_DD_cross_correlation,Y,H,N,,Theoretical DD cross correlation,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Theoretical_DD_cross_correlation,N,520,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Theoretical dipole-dipole cross correlation data
530,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_density_values,Y,H,N,,Spectral density values,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Spectral_density_values,N,530,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Spectral density factors
540,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Timedomain_data,Y,H,N,,Timedomain data,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Timedomain_data,N,540,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Time-domain data (raw spectral data)
550,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Secondary_structure_orientations,Y,H,N,,Secondary structure orientations,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Secondary_structure_orientations,N,550,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Secondary structure features
560,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Metabolite_coordinates,Y,H,N,,Metabolite coordinates,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Metabolite_coordinates,N,560,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Atomic coordinates
570,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Mass_spec_data,Y,H,N,,Mass spec data,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Mass_spec_data,N,570,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Mass spectrometry data
580,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Other_kind_of_data,Y,H,N,,Other kind of data,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Other_kind_of_data,N,580,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Other kinds of data
590,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_category,Y,H,N,,Sf category,0,VARCHAR(127),code,NOT NULL,Y,N,?,?,N,N,Y,N,,,,,,,,Deposited_data_files,Sf_category,N,590,Y,IV,II,?,?,?,,N,,1,?,Y,N,,,,?,n/a
600,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_framecode,Y,H,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,Y,N,?,?,N,Y,N,N,,,,,,,,Deposited_data_files,Sf_framecode,N,600,Y,IV,II,?,?,?,,N,,2,?,Y,N,,,,?,n/a
610,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Entry_ID,Y,H,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,Y,?,N,N,N,N,Y,,Entry,ID,,,,Deposited_data_files,Entry_ID,N,610,Y,IV,II,?,?,?,,Y,,3,?,Y,N,,,,?,Entry ID
620,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_ID,Y,H,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,,,Deposited_data_files,Sf_ID,N,620,Y,II,II,?,?,?,,N,,4,?,Y,N,,,,?,n/a
630,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.ID,Y,H,N,,ID,0,INTEGER,int,NOT NULL,Y,N,Y,Y,N,N,N,N,Y,,,,,,,Deposited_data_files,ID,N,630,Y,IV,II,?,?,?,,N,,5,?,Y,N,,,,?,n/a
640,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_name,Y,H,N,,Atomic coordinate file name,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Atomic_coordinate_file_name,N,640,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Enter atomic coordinate file path and name
650,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_syntax,Y,H,Y,N,Atomic coordinate file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Atomic_coordinate_file_syntax,N,650,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Enter file format
660,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Constraint_file_name,Y,H,N,,Constraint file name,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Constraint_file_name,N,660,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Enter constraints file path and name
670,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Constraint_file_syntax,Y,H,Y,N,Constraint file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Constraint_file_syntax,N,670,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Enter file format
680,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Precheck_flag,Y,H,N,,Precheck flag,1,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Precheck_flag,N,680,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Precheck
690,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Validate_flag,Y,H,N,,Validate flag,1,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Deposited_data_files,Validate_flag,N,690,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,Validate
700,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_ID,Y,H,N,,Data file ID,0,INTEGER,int,NOT NULL,Y,Y,Y,?,N,N,N,N,Y,,,,,,,Upload_data,Data_file_ID,Y,10,Y,IV,II,?,13000,1,,N,,6,?,Y,N,,,,?,Deposited data files ID
710,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_name,Y,N,N,,Data file name,1,VARCHAR(127),line,NOT NULL,Y,N,?,?,N,N,N,N,,,,,,,,Upload_data,Data_file_name,Y,20,Y,IV,II,?,13010,1,,N,,0,?,Y,N,,,,?,Data file path and name
720,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_content_type,Y,Y,Y,N,Data file content type,1,VARCHAR(127),line,NOT NULL,Y,N,?,?,N,N,N,N,,,,,,,,Upload_data,Data_file_content_type,Y,30,Y,IV,II,?,?,?,,N,,0,?,Y,N,,,,?,Data file content description
730,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_Sf_category,Y,H,Y,N,Data file Sf category,1,VARCHAR(127),code,,Y,N,?,?,N,N,N,N,,,,,,,,Upload_data,Data_file_Sf_category,Y,40,Y,IV,II,?,13030,1,,N,,0,?,Y,N,,,,?,n/a
740,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_syntax,Y,N,Y,N,Data file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,,,Upload_data,Data_file_syntax,Y,50,Y,IV,II,?,13020,1,,N,,0,?,Y,N,,,,?,Data file format
750,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_immutable_flag,Y,H,N,,Data file immutable flag,0,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Upload_data,Data_file_immutable_flag,Y,60,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,n/a
760,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Sf_ID,Y,H,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,Deposited_data_files,Sf_ID,,,,Upload_data,Sf_ID,Y,70,Y,II,II,?,?,?,,N,,4,?,Y,N,,,,?,n/a
770,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Entry_ID,Y,H,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,?,?,N,N,N,N,Y,,Deposited_data_files,Entry_ID,,,,Upload_data,Entry_ID,Y,80,Y,IV,VV,?,13810,1,,Y,,3,?,Y,N,,,,?,n/a
