dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfNameFlg,sfCategoryFlg,sfPointerFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example,prompt
170,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Coupling_constants,Y,HHHHH,Y,Y,Coupling constants,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,CouplingConstants,Entry_interview,Coupling_constants,N,170,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Scalar coupling constants
180,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Auto_relaxation,Y,HHHHH,Y,Y,Auto relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,AutoRelaxation,Entry_interview,Auto_relaxation,N,180,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Auto relaxation parameters
190,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Tensor,Y,HHHHH,Y,Y,Tensor,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,Tensor,Entry_interview,Tensor,N,190,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Tensor data
200,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Interatomic_distance,Y,HHHHH,Y,Y,Interatomic distance,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,InteratomicDistance,Entry_interview,Interatomic_distance,N,200,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Interatomic distance data
210,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_shift_anisotropy,Y,HHHHH,Y,Y,Chem shift anisotropy,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ChemShiftAnisotropy,Entry_interview,Chem_shift_anisotropy,N,210,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Chemical shift anisotropy
220,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_NOEs,Y,HHHHH,Y,Y,Heteronucl NOEs,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclNOEs,Entry_interview,Heteronucl_NOEs,N,220,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Heteronuclear NOEs
230,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1_relaxation,Y,HHHHH,Y,Y,Heteronucl T1 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT1Relaxation,Entry_interview,Heteronucl_T1_relaxation,N,230,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,T1 (R1) NMR relaxation data
240,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T2_relaxation,Y,HHHHH,Y,Y,Heteronucl T2 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT2Relaxation,Entry_interview,Heteronucl_T2_relaxation,N,240,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,T2 (R2) NMR relaxation data
250,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1rho_relaxation,Y,HHHHH,Y,Y,Heteronucl T1rho relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT1rhoRelaxation,Entry_interview,Heteronucl_T1rho_relaxation,N,250,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,T1rho (R1rho) NMR relaxation data
260,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Order_parameters,Y,HHHHH,Y,Y,Order parameters,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,OrderParameters,Entry_interview,Order_parameters,N,260,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Order parameters
270,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dynamics_trajectory,Y,HHHHH,Y,Y,Dynamics trajectory,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DynamicsTrajectory,Entry_interview,Dynamics_trajectory,N,270,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dynamics trajectory file
280,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Movie,Y,HHHHH,Y,Y,Movie,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,Movie,Entry_interview,Movie,N,280,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dynamics movie file
290,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Residual_dipolar_couplings,Y,HHHHH,Y,Y,Residual dipolar couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ResidualDipolarCouplings,Entry_interview,Residual_dipolar_couplings,N,290,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Residual dipolar couplings
300,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_rate,Y,HHHHH,Y,Y,H exchange rate,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HExchangeRate,Entry_interview,H_exchange_rate,N,300,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Hydrogen exchange rates
310,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_protection_factors,Y,HHHHH,Y,Y,H exchange protection factors,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HExchangeProtectionFactors,Entry_interview,H_exchange_protection_factors,N,310,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Hydrogen exchange protection data
320,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_rate_constants,Y,HHHHH,Y,Y,Chem rate constants,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ChemRateConstants,Entry_interview,Chem_rate_constants,N,320,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Chemical rate constants
330,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_peak_lists,Y,HHHHH,Y,Y,Spectral peak lists,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SpectralPeakLists,Entry_interview,Spectral_peak_lists,N,330,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Spectral peak lists
340,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_couplings,Y,HHHHH,Y,Y,Dipole dipole couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleDipoleCouplings,Entry_interview,Dipole_dipole_couplings,N,340,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dipole-dipole couplings
350,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Quadrupolar_couplings,Y,HHHHH,Y,Y,Quadrupolar couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,QuadrupolarCouplings,Entry_interview,Quadrupolar_couplings,N,350,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Quadrupolar couplings
360,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Homonucl_NOEs,Y,HHHHH,Y,Y,Homonucl NOEs,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HomonuclNOEs,Entry_interview,Homonucl_NOEs,N,360,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Homonuclear NOEs
370,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_relaxation,Y,HHHHH,Y,Y,Dipole dipole relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleDipoleRelaxation,Entry_interview,Dipole_dipole_relaxation,N,370,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dipole-dipole relaxation data
380,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.DD_cross_correlation,Y,HHHHH,Y,Y,DD cross correlation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DDCrossCorrelation,Entry_interview,DD_cross_correlation,N,380,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dipole-dipole cross correlation data
390,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_CSA_cross_correlation,Y,HHHHH,Y,Y,Dipole CSA cross correlation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleCSACrossCorrelation,Entry_interview,Dipole_CSA_cross_correlation,N,390,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Dipole-CSA cross correlation data
400,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Binding_constants,Y,HHHHH,Y,Y,Binding constants,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,BindingConstants,Entry_interview,Binding_constants,N,400,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Binding constants
410,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.PKa_value_data_set,Y,HHHHH,Y,Y,PKa value data set,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,PKaValueDataSet,Entry_interview,PKa_value_data_set,N,410,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,NMR-derived pH transitions (pKa's; pHmid's)
420,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.D_H_fractionation_factors,Y,HHHHH,Y,Y,D H fractionation factors,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DHFractionationFactors,Entry_interview,D_H_fractionation_factors,N,420,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,NMR-derived D/H fractionation factors
430,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_chem_shifts,Y,HHHHH,Y,Y,Theoretical chem shifts,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalChemShifts,Entry_interview,Theoretical_chem_shifts,N,430,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical (calculated) chemical shift values
440,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_coupling_constants,Y,HHHHH,Y,Y,Theoretical coupling constants,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalCouplingConstants,Entry_interview,Theoretical_coupling_constants,N,440,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical coupling constants
450,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_heteronucl_NOEs,Y,HHHHH,Y,Y,Theoretical heteronucl NOEs,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalHeteronuclNOEs,Entry_interview,Theoretical_heteronucl_NOEs,N,450,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical heteronuclear NOEs
460,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_T1_relaxation,Y,HHHHH,Y,Y,Theoretical T1 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalT1Relaxation,Entry_interview,Theoretical_T1_relaxation,N,460,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical T1 values
470,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_T2_relaxation,Y,HHHHH,Y,Y,Theoretical T2 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalT2Relaxation,Entry_interview,Theoretical_T2_relaxation,N,470,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical T2 values
480,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_auto_relaxation,Y,HHHHH,Y,Y,Theoretical auto relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalAutoRelaxation,Entry_interview,Theoretical_auto_relaxation,N,480,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical auto relaxation parameters
490,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_DD_cross_correlation,Y,HHHHH,Y,Y,Theoretical DD cross correlation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalDDCrossCorrelation,Entry_interview,Theoretical_DD_cross_correlation,N,490,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Theoretical dipole-dipole cross correlation data
500,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_density_values,Y,HHHHH,Y,Y,Spectral density values,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SpectralDensityValues,Entry_interview,Spectral_density_values,N,500,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Spectral density factors
510,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Timedomain_data,Y,HHHHH,Y,Y,Timedomain data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TimedomainData,Entry_interview,Timedomain_data,N,510,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Time-domain data (raw spectral data)
520,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Molecular_interactions,Y,HHHHH,Y,Y,Molecular interactions,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MolecularInteractions,Entry_interview,Molecular_interactions,N,520,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Molecular orientations
530,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Secondary_structure_orientations,Y,HHHHH,Y,Y,Secondary structure orientations,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SecondaryStructureOrientations,Entry_interview,Secondary_structure_orientations,N,530,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Secondary structure features
540,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Metabolite_coordinates,Y,HHHHH,Y,Y,Metabolite coordinates,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MetaboliteCoordinates,Entry_interview,Metabolite_coordinates,N,540,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Atomic coordinates
550,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Mass_spec_data,Y,HHHHH,Y,Y,Mass spec data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MassSpecData,Entry_interview,Mass_spec_data,N,550,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Mass spectrometry data
560,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Other_kind_of_data,Y,HHHHH,Y,Y,Other kind of data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,OtherKindOfData,Entry_interview,Other_kind_of_data,N,560,Y,IOIOI,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?,Other kinds of data
570,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_category,Y,HHHHH,N,,Sf category,0,VARCHAR(127),code,NOT NULL,Y,N,?,?,N,N,Y,N,,,,,,DepositedDataFiles,SfCategory,Deposited_data_files,Sf_category,N,570,Y,IVIVI,IIIIII,?,?,?,,N,?,1,?,Y,N,?,?,?,?,n/a
580,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_framecode,Y,HHHHH,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,Y,N,?,?,N,Y,N,N,,,,,,DepositedDataFiles,SfFramecode,Deposited_data_files,Sf_framecode,N,580,Y,IVIVI,IIIIII,?,?,?,,N,?,2,?,Y,N,?,?,?,?,n/a
590,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,Y,?,N,N,N,N,Y,,Entry,ID,,DepositedDataFiles,EntryID,Deposited_data_files,Entry_ID,N,590,Y,IVIVI,IIIIII,?,?,?,,Y,?,3,?,Y,N,1,Entry,ID,?,Entry ID
600,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,DepositedDataFiles,SfID,Deposited_data_files,Sf_ID,N,600,Y,IIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,?,?,?,?,n/a
610,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.ID,Y,HHHHH,N,,ID,0,INTEGER,int,NOT NULL,Y,N,Y,Y,N,N,N,N,Y,,,,,DepositedDataFiles,DepositedDataFilesID,Deposited_data_files,ID,N,610,Y,IVIVI,IIIIII,?,?,?,,N,?,5,?,Y,N,?,?,?,?,n/a
620,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_name,Y,NHHHH,N,,Atomic coordinate file name,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,AtomicCoordinateFileName,Deposited_data_files,Atomic_coordinate_file_name,N,620,Y,IOIOI,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?,Enter atomic coordinate file path and name
630,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_syntax,Y,NHHHH,Y,N,Atomic coordinate file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,AtomicCoordinateFileSyntax,Deposited_data_files,Atomic_coordinate_file_syntax,N,630,Y,IOIOI,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?,Enter file format
